run,champion,runner_up
0,Argentina,Spain
1,England,Spain
2,Spain,Argentina
3,Argentina,France
4,Argentina,Spain
5,France,Argentina
6,Argentina,Spain
7,Argentina,France
8,Argentina,Spain
9,Argentina,France
10,Spain,Argentina
11,France,Argentina
12,France,Argentina
13,Argentina,Spain
14,Argentina,Spain
15,Spain,Argentina
16,Spain,England
17,Argentina,France
18,Argentina,Spain
19,France,England
20,Argentina,Spain
21,Argentina,Spain
22,France,Argentina
23,Argentina,France
24,Spain,Argentina
25,Argentina,France
26,Argentina,France
27,France,Argentina
28,England,France
29,Argentina,France
30,Argentina,France
31,Argentina,France
32,France,England
33,Argentina,Spain
34,Argentina,France
35,Spain,Argentina
36,Argentina,France
37,Argentina,France
38,Argentina,France
39,Argentina,Spain
40,Spain,Argentina
41,France,England
42,France,England
43,Argentina,Spain
44,Argentina,Spain
45,Argentina,France
46,Spain,England
47,Argentina,France
48,France,Argentina
49,France,Argentina
50,Spain,Argentina
51,England,France
52,Argentina,France
53,England,Spain
54,France,England
55,Argentina,France
56,France,Argentina
57,Argentina,France
58,France,England
59,Argentina,Spain
60,Argentina,Spain
61,Argentina,France
62,England,France
63,France,Argentina
64,France,Argentina
65,Argentina,France
66,Argentina,France
67,Spain,Argentina
68,France,Argentina
69,Spain,England
70,Spain,Argentina
71,Argentina,Spain
72,England,France
73,Argentina,France
74,Spain,Argentina
75,Spain,England
76,Spain,England
77,Argentina,France
78,Argentina,Spain
79,Spain,England
80,Spain,Argentina
81,Argentina,France
82,Spain,Argentina
83,Argentina,France
84,France,Argentina
85,Spain,Argentina
86,France,Argentina
87,Spain,Argentina
88,Spain,Argentina
89,France,England
90,France,Argentina
91,Argentina,Spain
92,Argentina,France
93,Spain,England
94,Argentina,France
95,France,England
96,England,France
97,France,Argentina
98,Argentina,Spain
99,Argentina,Spain
100,Spain,England
101,Argentina,France
102,France,Argentina
103,Argentina,France
104,France,Argentina
105,Argentina,France
106,Argentina,France
107,Argentina,France
108,Argentina,Spain
109,France,Argentina
110,Argentina,Spain
111,Spain,England
112,France,Argentina
113,England,Spain
114,Argentina,Spain
115,Spain,Argentina
116,Spain,England
117,Argentina,France
118,Argentina,France
119,Argentina,Spain
120,Spain,England
121,Argentina,France
122,Spain,Argentina
123,Spain,Argentina
124,France,Argentina
125,Argentina,France
126,Argentina,France
